stem,bucket,priority,size,worst_verdict,layer,findings,summary,status,resolution
Nantucket2026,ungrounded-names-1,1817.8,10007,FAIL,1,3,names_grounded: 0/21 names located in data/raw_ocr/Nantucket2026.txt,open,
Wayland2026,ungrounded-names-1,1816.4,10548,FAIL,1,2,names_grounded: 15/18 names located in data/raw_ocr/Wayland2026.txt,open,
Bedford2026,ungrounded-names-1,1813.6,10434,FAIL,1,2,names_grounded: 11/14 names located in data/raw_ocr/Bedford2026.txt,open,
Clarksburg2024,impossible-arithmetic-1,1812.0,1336,FAIL,2,5,marks_exceed_ballots: MODERATOR: 300 marks > 272 ballots x 1 seats = 272,open,
Dudley2025,ungrounded-names-1,1811.3,9217,FAIL,1,4,names_grounded: 19/25 names located in data/raw_ocr/Dudley2025.txt,open,
Upton2025,ungrounded-names-1,1811.0,6657,FAIL,1,3,names_grounded: 15/20 names located in data/raw_ocr/Upton2025.txt,open,
Lunenburg2026,ungrounded-names-1,1809.9,9709,FAIL,1,3,names_grounded: 9/23 names located in data/raw_ocr/Lunenburg2026.txt,open,
Lynnfield2026,ungrounded-names-1,1805.3,10104,FAIL,1,2,names_grounded: 3/15 names located in data/raw_ocr/Lynnfield2026.txt,open,
Palmer2026,ungrounded-names-1,1805.3,10104,FAIL,1,2,names_grounded: 10/14 names located in data/raw_ocr/Palmer2026.txt,open,
Brewster2026,ungrounded-names-1,1802.9,8927,FAIL,1,4,names_grounded: 4/13 names located in data/raw_ocr/Brewster2026.txt,open,
Wrentham2023,ungrounded-names-1,1801.9,9413,FAIL,1,3,names_grounded: 9/13 names located in data/raw_ocr/Wrentham2023.txt,open,
Nantucket2021,ungrounded-names-1,1801.2,9390,FAIL,1,3,names_grounded: 21/26 names located in data/raw_ocr/Nantucket2021.txt,open,
Wrentham2025,ungrounded-names-1,1800.3,9913,FAIL,1,2,names_grounded: 14/24 names located in data/markdown/Wrentham2025.md,open,
Dudley2026,ungrounded-names-1,1796.4,9217,FAIL,1,3,names_grounded: 14/20 names located in data/raw_ocr/Dudley2026.txt,open,
Wrentham2022,ungrounded-names-1,1789.4,9502,FAIL,1,2,names_grounded: 15/19 names located in data/raw_ocr/Wrentham2022.txt,open,
Brewster2024,ungrounded-names-1,1785.2,8829,FAIL,1,3,names_grounded: 5/10 names located in data/raw_ocr/Brewster2024.txt,open,
Groton2022,ungrounded-names-1,1783.1,8757,FAIL,1,3,names_grounded: 2/26 names located in data/raw_ocr/Groton2022.txt,open,
Maynard2026,ungrounded-names-1,1772.8,8909,FAIL,1,2,names_grounded: 2/8 names located in data/raw_ocr/Maynard2026.txt,open,
Arlington2025,ungrounded-figures-1,1771.1,32046,FAIL,1,3,figures_grounded: 152/162 figures located in data/raw_ocr/Arlington2025.txt,open,
Sturbridge2025,ungrounded-names-1,1769.0,7844,FAIL,1,3,names_grounded: 0/16 names located in data/raw_ocr/Sturbridge2025.txt,open,
