municipality,year,url,kind,pool,prior_status
Chelsea,2019,https://cms5.revize.com/revize/bellflowerca/SR%20Package%20-%20DIF%20Annual%20Report%20(2019-20).pdf,atr,nodes,ERROR
Chelsea,2020,https://cms5.revize.com/revize/BOH/2020%20BCGHD%20Annual%20Report%20FINAL.pdf,atr,nodes,ERROR
Westborough,2000,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2000_youth_annual_report.pdf,atr,nodes,ERROR
Westborough,2001,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2001_youth_annual_report.pdf,atr,nodes,ERROR
Westborough,2002,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2002_youth_annual_report.pdf,atr,nodes,ERROR
Westborough,2003,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2003_youth_annual_report.pdf,atr,nodes,ERROR
Westborough,2004,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2004_youth_annual_report.pdf,atr,nodes,ERROR
Westborough,2005,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2005_youth_annual_report.pdf,atr,nodes,ERROR
Westborough,2006,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2006_youth_annual_report.pdf,atr,nodes,ERROR
Westborough,2007,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2007_youth_annual_report.pdf,atr,nodes,ERROR
Westborough,2008,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2008_youth_annual_report.pdf,atr,nodes,ERROR
Westborough,2009,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2009_youth_annual_report.pdf,atr,nodes,ERROR
Westborough,2010,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2010_youth_annual_report.pdf,atr,nodes,ERROR
Westborough,2011,http://town.westborough.ma.us/Public_Documents/WestboroughMA_TownReports/2011%20Annual%20Report.pdf,atr,nodes,ERROR
Westborough,2011,http://www.town.westborough.ma.us/public_documents/FV1-00010A3E/FV1-00045670/2011%20Annual%20Town%20Report.pdf,atr,nodes,ERROR
Westborough,2011,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2011_annual_report.pdf,atr,nodes,ERROR
Westborough,2011,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2011_youth_annual_report.pdf,atr,nodes,ERROR
Westborough,2012,http://town.westborough.ma.us/Public_Documents/WestboroughMA_TownReports/2012%20Annual%20Report.pdf,atr,nodes,ERROR
Westborough,2012,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2012_annual_report.pdf,atr,nodes,ERROR
Westborough,2012,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2012_youth_annual_report.pdf,atr,nodes,ERROR
Westborough,2013,http://town.westborough.ma.us/Public_Documents/WestboroughMA_TownReports/2013%20Annual%20Town%20Report.pdf,atr,nodes,ERROR
Westborough,2013,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2013_annual_town_report.pdf,atr,nodes,ERROR
Westborough,2013,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2013_youth_annual_report.pdf,atr,nodes,ERROR
Westborough,2014,http://town.westborough.ma.us/Public_Documents/WestboroughMA_TownReports/2014%20ATR.pdf,atr,nodes,ERROR
Westborough,2014,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2014_youth_annual_report.pdf,atr,nodes,ERROR
Westborough,2015,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2015_youth_annual_report.pdf,atr,nodes,ERROR
Westborough,2016,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2016_youth_annual_report.pdf,atr,nodes,ERROR
Westborough,2017,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2017_annual_town_report.pdf,atr,nodes,ERROR
Westborough,2018,https://town.westborough.ma.us/ImageRepository/Document?documentID=109,result,catalog,NOT_PDF
Westborough,2019,https://www.town.westborough.ma.us/sites/g/files/vyhlif5176/f/uploads/2019_annual_town_report.pdf,atr,nodes,ERROR
Westborough,2019,https://www.town.westborough.ma.us/sites/westboroughma/files/news/2019_town_election_results.pdf,result,catalog,ERROR
Westborough,2019,https://www.town.westborough.ma.us/sites/westboroughma/files/pages/boroughs_2019_annual_report.pdf,atr,nodes,ERROR
Westborough,2019,https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2019_town_election_results.pdf,result,catalog,ERROR
Huntington,2006,http://www.huntingtonma.us/AnnualReports/2006_AnnualReport-sm.pdf,atr,nodes,ERROR
Huntington,2006,https://www.huntingtonma.us/Reports/2006_AnnualReport-sm.pdf,atr,nodes,ERROR
Huntington,2007,http://www.huntingtonma.us/AnnualReports/2007_AnnualReport.pdf,atr,nodes,ERROR
Huntington,2007,https://www.huntingtonma.us/Reports/2007_AnnualReport.pdf,atr,nodes,ERROR
Huntington,2008,http://www.huntingtonma.us/AnnualReports/2008_AnnualReport.pdf,atr,nodes,ERROR
Huntington,2008,https://www.huntingtonma.us/Reports/2008_AnnualReport.pdf,atr,nodes,ERROR
Huntington,2009,http://www.huntingtonma.us/Documents/2009AnnualReport.pdf,atr,nodes,ERROR
Huntington,2011,http://www.huntingtonma.us/AnnualReports/2011AnnualReport.pdf,atr,nodes,ERROR
Huntington,2011,https://www.huntingtonma.us/Reports/2011AnnualReport.pdf,atr,nodes,ERROR
Huntington,2013,http://www.huntingtonma.us/AnnualReports/Huntington_Annual_Report_2013.pdf,atr,nodes,ERROR
Huntington,2013,https://www.huntingtonma.us/Reports/Huntington_Annual_Report_2013.pdf,atr,nodes,ERROR
Huntington,2014,http://huntingtonma.us/AnnualReports/2014_Huntington_Annual_Town_Report-web.pdf,atr,nodes,ERROR
Huntington,2014,https://www.huntingtonma.us/Reports/2014_Huntington_Annual_Town_Report-web.pdf,atr,nodes,ERROR
Huntington,2016,http://www.huntingtonma.us/AnnualReports/2016_Huntington_Annual_Town_Report-web.pdf,atr,nodes,ERROR
Huntington,2016,https://www.huntingtonma.us/Reports/2016_Huntington_Annual_Town_Report-web.pdf,atr,nodes,ERROR
Huntington,2017,http://huntingtonma.us/AnnualReports/2017%20Huntington%20Annual%20Report.pdf,atr,nodes,ERROR
