stem,old_cut,new_cut,pages,picked,score,runner_up,detail,url,election
Westport2013,unclear,unclear,233,31-37,40,37,"page 32: 1 headings, 5 ballot words, 11 offices",https://web.archive.org/web/20211122232925id_/https://www.westport-ma.com/sites/g/files/vyhlif7356/f/pages/town_report_2013.pdf,no tally page
Westport2020,minutes or warrant,unclear,256,32-36,29,18,"page 33: 1 headings, 8 ballot words, 3 offices",https://web.archive.org/web/20240421224140id_/https://www.westport-ma.com/sites/g/files/vyhlif12811/f/pages/town_report_2020_1.pdf,no tally page
Ayer2013,minutes or warrant,looks like return,187,165-171,91,89,"page 167: 1 headings, 30 ballot words, 5 offices",https://web.archive.org/web/20150609151359id_/http://www.ayer.ma.us/pages/AyerMA_About/2013-town_report.pdf,"the annual election, and a state one beside it"
Ayer2016,minutes or warrant,looks like return,193,156-174,69,67,"page 160: 1 headings, 26 ballot words, 0 offices",https://web.archive.org/web/20210326065421id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2016_town_of_ayer_annual_report.pdf,"the annual election, and a state one beside it"
Brewster2020,minutes or warrant,looks like return,179,82-85,81,59,"page 83: 1 headings, 18 ballot words, 6 offices",https://web.archive.org/web/20211108193154id_/https://www.brewster-ma.gov/files/2020townreport.pdf,"the annual election, and a state one beside it"
Carver2006,minutes or warrant,looks like return,158,13-28,38,17,"page 14: 2 headings, 6 ballot words, 2 offices",https://web.archive.org/web/20240715074616id_/https://www.carverma.gov/sites/g/files/vyhlif4221/f/pages/2006_town_report.pdf,"the annual election, and a state one beside it"
Carver2013,minutes or warrant,looks like return,154,20-31,39,20,"page 21: 2 headings, 7 ballot words, 2 offices",https://web.archive.org/web/20240716095318id_/https://www.carverma.gov/sites/g/files/vyhlif4221/f/pages/2013_town_report.pdf,"the annual election, and a state one beside it"
Cohasset2006,directory or list,looks like return,232,83-92,59,20,"page 84: 1 headings, 4 ballot words, 3 offices",https://web.archive.org/web/20160727104131id_/http://www.cohassetma.org:80/uploads/forms/townreportcombinedfinal_2006.pdf,"the annual election, and a state one beside it"
Cohasset2008,directory or list,looks like return,234,106-116,65,19,"page 107: 1 headings, 4 ballot words, 5 offices",https://web.archive.org/web/20160819001238id_/http://www.cohassetma.org//uploads/Town%20Reports/TownReportCombinedFinal_2008.pdf,"the annual election, and a state one beside it"
Cohasset2013,directory or list,looks like return,216,81-86,38,15,"page 83: 1 headings, 3 ballot words, 2 offices",https://web.archive.org/web/20160723160725id_/http://www.cohassetma.org:80/uploads/forms/townreportcombinedfinal_2013.pdf,"the annual election, and a state one beside it"
Grafton2013,directory or list,looks like return,124,35-38,71,38,"page 36: 1 headings, 10 ballot words, 5 offices",https://web.archive.org/web/20220319195917id_/https://www.grafton-ma.gov/sites/g/files/vyhlif4461/f/uploads/2013_annual_town_report_tr_web_copy_final.pdf,"the annual election, and a state one beside it"
Marblehead2013,minutes or warrant,looks like return,274,71-84,56,19,"page 72: 1 headings, 9 ballot words, 1 offices",https://web.archive.org/web/20251013064936id_/https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2013.pdf,"the annual election, and a state one beside it"
Marblehead2020,minutes or warrant,looks like return,325,63-78,67,30,"page 64: 1 headings, 12 ballot words, 2 offices",https://web.archive.org/web/20251013064920id_/https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2020.pdf,"the annual election, and a state one beside it"
Northbridge2016,minutes or warrant,looks like return,188,62-75,70,37,"page 66: 1 headings, 15 ballot words, 2 offices",https://web.archive.org/web/20211229015317id_/https://www.northbridgemass.org/sites/g/files/vyhlif981/f/u2391/2016_annual_town_report.pdf,"the annual election, and a state one beside it"
Northbridge2020,minutes or warrant,looks like return,204,69-82,68,24,"page 73: 1 headings, 11 ballot words, 3 offices",https://web.archive.org/web/20220320074233id_/https://www.northbridgemass.org/sites/g/files/vyhlif981/f/uploads/2020_annual_town_report.pdf,"the annual election, and a state one beside it"
Sharon2010,directory or list,looks like return,243,41-56,45,33,"page 42: 1 headings, 12 ballot words, 5 offices",https://web.archive.org/web/20150109035012id_/http://www.townofsharon.net:80/sites/sharonma/files/file/file/2010_annual_town_report.pdf,"the annual election, and a state one beside it"
Tyngsborough2015,minutes or warrant,looks like return,118,59-62,79,53,"page 60: 1 headings, 16 ballot words, 6 offices",https://web.archive.org/web/20150917213911id_/http://www.tyngsboroughma.gov/download/documents/2015/2014_AnnualTownReport.pdf,"the annual election, and a state one beside it"
Wayland2005,minutes or warrant,looks like return,176,80-87,67,43,"page 84: 2 headings, 7 ballot words, 3 offices",https://web.archive.org/web/20151030031452id_/http://www.wayland.ma.us/Pages/WaylandMA_Selectmen/TownReports/WaylandTownReports2005.pdf,"the annual election, and a state one beside it"
Wayland2010,minutes or warrant,looks like return,146,70-76,55,52,"page 73: 1 headings, 12 ballot words, 4 offices",https://web.archive.org/web/20151030033231id_/http://www.wayland.ma.us/Pages/WaylandMA_Selectmen/TownReports/WaylandAnnualReports2010.pdf,"the annual election, and a state one beside it"
Wayland2013,minutes or warrant,looks like return,180,87-94,76,44,"page 91: 1 headings, 13 ballot words, 6 offices",https://web.archive.org/web/20211122231056id_/https://www.wayland.ma.us/sites/g/files/vyhlif4016/f/uploads/annual_town_report_2013.pdf,"the annual election, and a state one beside it"
Wayland2014,minutes or warrant,looks like return,164,92-97,50,29,"page 94: 1 headings, 13 ballot words, 6 offices",https://web.archive.org/web/20151030033042id_/http://www.wayland.ma.us/Pages/WaylandMA_Selectmen/TownReports/AnnualReport2014.pdf,"the annual election, and a state one beside it"
