municipality,year,url,kind,pool,pages
Middleton,2012,https://middletonma.gov/DocumentCenter/View/1572/May-14-2012-Annual-Town-Election-Official-Results,result,catalog,2
Middleton,2013,https://middletonma.gov/DocumentCenter/View/1509/2013-Annual-Town-Election-Results,result,catalog,2
Middleton,2014,https://middletonma.gov/DocumentCenter/View/1577/May-19-2014-Annual-Town-Election-Official-Results,result,catalog,2
Middleton,2015,https://middletonma.gov/DocumentCenter/View/1576/May-18-2015-Annual-Town-Election-Official-Results,result,catalog,2
Middleton,2016,https://middletonma.gov/DocumentCenter/View/1289/2016-5-16-Annual-Town-Election-Official-Results,result,catalog,6
Middleton,2016,https://www.middletonma.gov/DocumentCenter/View/454,result,catalog,5
Middleton,2018,https://middletonma.gov/DocumentCenter/View/1268/May-15-2018-Annual-Town-Election-Official-Results,result,catalog,4
Middleton,2019,https://middletonma.gov/DocumentCenter/View/1652/2019-5-21-Annual-Town-Election-Official-Results,result,catalog,2
Middleton,2019,https://middletonma.gov/DocumentCenter/View/1657/May-21-2019-Annual-Town-Election-Official-Results,result,catalog,2
Orleans,2012,https://town.orleans.ma.us/DocumentCenter/View/1137/2012-Annual-Town-Election-Results-PDF,result,catalog,2
Orleans,2014,https://town.orleans.ma.us/DocumentCenter/View/1131/2014-Annual-Town-Election-Results-PDF,result,catalog,3
Orleans,2017,https://town.orleans.ma.us/DocumentCenter/View/1122/2017-Annual-Town-Election-Results-PDF,result,catalog,4
Orleans,2020,https://town.orleans.ma.us/DocumentCenter/View/1149/2020-Final-Annual-Town-Election-Results---June-23-PDF,result,catalog,4
Natick,2016,https://www.natickma.gov/DocumentCenter/View/4549/Election-Unofficial-Results---March-28-2016,result,catalog,3
Natick,2016,https://www.natickma.gov/DocumentCenter/View/4549/Election-Unofficial-Results---March-28-2016?bidId=,result,catalog,3
Natick,2019,https://www.natickma.gov/DocumentCenter/View/7982,result,catalog,3
Sandisfield,2017,https://www.sandisfieldma.gov/sites/g/files/vyhlif1171/f/uploads/2017_sandisfield_annual_report.pdf,atr,nodes,82
Sandisfield,2018,https://www.sandisfieldma.gov/sites/g/files/vyhlif1171/f/uploads/annual_report_2018.pdf,atr,nodes,84
Sandisfield,2020,https://www.sandisfieldma.gov/sites/g/files/vyhlif1171/f/news/annual_town_election_results_6_2020_0.pdf,result,catalog,1
Dartmouth,2005,https://dartmouthma.gov/DocumentCenter/View/334/2005-April-5-Annual-Town-Election-Official-Results-PDF,result,catalog,9
Dartmouth,2005,https://www.dartmouthma.gov/DocumentCenter/View/334/2005-April-5-Annual-Town-Election-Official-Results-PDF,result,catalog,9
Dartmouth,2009,https://dartmouthma.gov/DocumentCenter/View/335/2009-April-7-Annual-Town-Election-Official-Results-PDF,result,catalog,7
Dartmouth,2009,https://www.dartmouthma.gov/DocumentCenter/View/335/2009-April-7-Annual-Town-Election-Official-Results-PDF,result,catalog,7
Dartmouth,2011,https://dartmouthma.gov/DocumentCenter/View/332/2011-April-5-Annual-Town-Election-Official-Results-PDF,result,catalog,9
Dartmouth,2011,https://www.dartmouthma.gov/DocumentCenter/View/332/2011-April-5-Annual-Town-Election-Official-Results-PDF,result,catalog,9
Dartmouth,2014,https://dartmouthma.gov/DocumentCenter/View/355/2014-April-01-Annual-Town-Election-Official-Results-PDF,result,catalog,4
Dartmouth,2014,https://www.dartmouthma.gov/DocumentCenter/View/355/2014-April-01-Annual-Town-Election-Official-Results-PDF,result,catalog,4
Dartmouth,2015,https://dartmouthma.gov/DocumentCenter/View/354/2015-April-07-Annual-Town-Election-Official-Results-PDF,result,catalog,4
Dartmouth,2015,https://www.dartmouthma.gov/DocumentCenter/View/354/2015-April-07-Annual-Town-Election-Official-Results-PDF,result,catalog,4
Dartmouth,2016,https://dartmouthma.gov/DocumentCenter/View/351/2016-April-05-Annual-Town-Election-Official-Results-PDF,result,catalog,15
