municipality,year,url,kind,pool,prior_status,prior_chars,prior_pages
Barnstable,2019,https://tobweb.town.barnstable.ma.us/Departments%5C%5CTownManager%5C%5CAnnual_Reports%5C%5C2019-.pdf,atr,section,OK,677127,286
Barnstable,2020,https://tobweb.town.barnstable.ma.us/Departments%5C%5CTownManager%5C%5CAnnual_Reports%5C%5C2020.pdf,atr,section,OK,604295,226
Barre,2020,https://www.townofbarre.com/vertical/Sites/%7BBE114F1B-906E-45B0-8413-50FFE8B51C22%7D/uploads/2020-OFFICIAL-11-3-Pres-Election_Results.pdf,atr,section,OK,6946,3
Becket,2007,http://www.townofbecket.org/Public_Documents/BecketMA_BBoard/01F74FE1-000F8513.0/BECKET%20TOWN%20REPORT%2007%20WEB.pdf,atr,section,RETRY,0,0
Becket,2017,https://www.townofbecket.org/sites/g/files/vyhlif4146/f/uploads/2017_annual_town_report.pdf,atr,section,OK,214955,89
Becket,2020,https://www.townofbecket.org/sites/g/files/vyhlif4146/f/uploads/becket_2020_town_report_for_web.pdf,atr,section,OK,213735,89
Bedford,2005,https://web.archive.org/web/20060627054256id_/http://www.bedfordnh.org:80/dept/townmanager/townreport2005.pdf,atr,section,RETRY,145,146
Bedford,2007,https://web.archive.org/web/20161229061336id_/http://www.bedfordma.gov/sites/bedfordma/files/file/file/2007_annual_report.pdf,atr,section,OK,374728,140
Bedford,2008,https://web.archive.org/web/20161226234149id_/http://www.bedfordma.gov/sites/bedfordma/files/file/file/2008_annual_report.pdf,atr,section,OK,341315,118
Bedford,2009,https://web.archive.org/web/20210512233410id_/https://www.bedfordma.gov/sites/g/files/vyhlif6866/f/file/file/annual_report_2009_final-updated_2-26-10.pdf,atr,section,OK,390507,134
Bedford,2010,https://web.archive.org/web/20170125133525id_/http://www.bedfordma.gov/sites/bedfordma/files/file/file/annual_report_2010_-_website.pdf,atr,section,OK,442807,166
Bedford,2011,https://web.archive.org/web/20170125111300id_/http://www.bedfordma.gov/sites/bedfordma/files/file/file/annual_report_2011_final.pdf,atr,section,OK,380499,143
Bedford,2012,https://web.archive.org/web/20161229075438id_/http://www.bedfordma.gov/sites/bedfordma/files/file/file/annual_report_2012_final.pdf,atr,section,OK,422896,154
Bedford,2013,https://web.archive.org/web/20161229073752id_/http://www.bedfordma.gov/sites/bedfordma/files/file/file/annual_town_report_2013.pdf,atr,section,OK,526277,217
Bedford,2014,https://web.archive.org/web/20170112231025id_/http://www.bedfordma.gov/sites/bedfordma/files/file/file/2014_town_of_bedford_annual_report_web_version.pdf,atr,section,OK,447004,185
Bedford,2015,https://web.archive.org/web/20170131145419id_/http://www.bedfordma.gov/sites/bedfordma/files/file/file/2015_town_of_bedford_annual_report_final.pdf,atr,section,OK,551153,224
Bedford,2016,https://www.thebedfordcitizen.org/wp-content/uploads/2016/03/2015_town_of_bedford_annual_report_final-03152016.pdf,atr,section,RETRY,0,0
Bedford,2018,https://web.archive.org/web/20200804074003id_/https://www.bedfordma.gov/sites/g/files/vyhlif2781/f/uploads/2018annual_report.pdf,atr,section,OK,18415,8
Bedford,2019,https://web.archive.org/web/20210511134143id_/https://www.bedfordma.gov/sites/g/files/vyhlif6866/f/pages/annualreport_2019_complete_ocrmissing.pdf,atr,section,OK,443779,226
Bedford,2020,https://cdn.thebedfordcitizen.org/wp-content/uploads/2021/06/AnnualReport2020-TO-POST-06242021.pdf,atr,section,OK,19807,8
Belchertown,2005,https://web.archive.org/web/20061001164344id_/http://www.belchertown.org/departments/dpw/downloads/AnnualReport2005.pdf,atr,section,OK,41722,84
Belchertown,2011,https://web.archive.org/web/20120805191836id_/http://www.belchertown.org/belchertown/home/docs/Town_Report_2011.pdf,atr,section,RETRY,150,151
Belchertown,2015,https://www.belchertown.org/DocumentCenter/View/7958/2015-Annual-Town-Report-Belchertown,atr,section,RETRY,117,118
Belchertown,2016,https://www.belchertown.org/DocumentCenter/View/7959/2016-Annual-Town-Report-Belchertown,atr,section,RETRY,136,137
Belchertown,2017,https://www.belchertown.org/DocumentCenter/View/7960/2017-Annual-Town-Report-Belchertown,atr,section,RETRY,136,137
Belchertown,2018,https://www.belchertown.org/DocumentCenter/View/7961/2018-Annual-Town-Report-Belchertown,atr,section,RETRY,143,144
Belchertown,2019,https://www.belchertown.org/DocumentCenter/View/7962/2019-Annual-Town-Report-Belchertown,atr,section,RETRY,138,139
Belchertown,2020,https://www.belchertown.org/DocumentCenter/View/7964/2020-Annual-Town-Report-Belchertown-Part-2,atr,section,OK,78254,31
Bellingham,2021,https://archives.lib.state.ma.us/server/api/core/bitstreams/57ffd0f0-ef2c-4ca1-839f-45d04c5927a3/content,atr,section,OK,498966,282
Belmont,2004,https://web.archive.org/web/20140501022756id_/http://www.belmont-ma.gov:80/Public_Documents/BelmontMA_WebDocs/townreports/2004/selectmen.pdf,atr,section,OK,5890,2
Belmont,2005,https://belmont-ma.gov/ImageRepository/Document?documentID=267,atr,section,OK,23856,10
Belmont,2006,https://belmont-ma.gov/ImageRepository/Document?documentID=266,atr,section,OK,387522,248
Belmont,2007,https://web.archive.org/web/20170126225135id_/http://www.belmont-ma.gov/sites/belmontma/files/file/file/epa_annual_report_2007_0.pdf,atr,section,OK,34238,22
Belmont,2008,https://web.archive.org/web/20160705223040id_/http://www.belmont-ma.gov:80/sites/belmontma/files/file/file/2008annualreport.pdf,atr,section,OK,510698,189
Belmont,2009,https://web.archive.org/web/20161227191344id_/https://www.belmont-ma.gov/sites/belmontma/files/file/file/2009annualreport.pdf,atr,section,OK,599594,215
