municipality,year,election_type,expected,provenance,native_url,hosted_url,source,confidence,verification,priority,pdf_filename,has_pdf,has_json,status,markdown_url,conversion_method,known_bad_url,coverage_state,source_kind
Andover,2024,regular,yes,LEO,https://andoverma.gov/ArchiveCenter/ViewFile/Item/2193,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Andover2024_d0.pdf,manual_sources,manual,,95,Andover2024_d0.pdf,yes,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Andover2024.md,pypdf,,published,official
Andover,2025,regular,yes,LEO,https://andoverma.gov/ArchiveCenter/ViewFile/Item/2678,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Andover2025_d0.pdf,manual_sources,manual,,95,Andover2025_d0.pdf,yes,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Andover2025.md,pypdf,,published,official
Andover,2026,regular,yes,custom-search-2026,https://andoverma.gov/ArchiveCenter/ViewFile/Item/2910,,,,citation found 2026-08-23 by sha256: bytes identical to the held PDF,,,no,no,pdf_hosted,,,,published,official
Aquinnah,2021,regular,yes,NEWS,https://www.mvtimes.com/2021/06/24/murphy-wins-three-way-race-select-board/,,manual,high,YES,90,Aquinnah2021_d0.pdf,,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Aquinnah2021.md,playwright+docling-2.66.0,,published,news
Aquinnah,2022,regular,yes,NEWS,https://vineyardgazette.com/news/2022/05/12/aquinnah-sees-large-turnout-town-election,,manual,high,,70,Aquinnah2022_d0.pdf,,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Aquinnah2022.md,playwright+docling-2.66.0,,published,news
Aquinnah,2023,regular,yes,LEO,https://www.aquinnah-ma.gov/home/news/aquinnah-annual-town-election-results-may-11-2023,,manual_sources,manual,,95,Aquinnah2023_d0.pdf,,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Aquinnah2023.md,playwright+docling-2.66.0,,published,official
Aquinnah,2024,regular,yes,owner-supplied-2026-08-22-small_towns_ingest,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/news/atm_elections_results_2024.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Aquinnah2024_d0.pdf,manual,low,manual_ingest,70,Aquinnah2024_d0.pdf,yes,no,pdf_hosted,,,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/news/2024_state_election_unofficial_results.pdf https://jamesnicholsworley.github.io/civicatlasma/pdfs/Aquinnah2024.pdf,published,official
Aquinnah,2025,regular,yes,NEWS,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/news/2025_aq_election_results.jpg,,manual,high,unrecovered_landing,90,,no,no,hosted,,playwright+docling-2.66.0,,published,official
Aquinnah,2026,regular,yes,custom-search-2026,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/news/unofficial_ate_may_142026_election_results.pdf,,,,,,,no,no,pdf_hosted,,,,published,official
Arlington,2021,regular,yes,LEO,https://www.arlingtonma.gov/home/showpublisheddocument/55830/637536860248300000,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Arlington2021_d0.pdf,manual,manual,manual_ingest,95,Arlington2021_d0.pdf,yes,yes,pdf_hosted,,,,published,official
Arlington,2022,regular,yes,LEO,https://www.arlingtonma.gov/home/showpublisheddocument/63115/638047128835530000,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Arlington2022_d0.pdf,manual,manual,manual_ingest,95,Arlington2022_d0.pdf,yes,yes,pdf_hosted,,,,published,official
Arlington,2023,regular,yes,LEO,https://www.arlingtonma.gov/home/showpublisheddocument/64777/638163962648670000,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Arlington2023_d0.pdf,manual,manual,manual_ingest,95,Arlington2023_d0.pdf,yes,yes,pdf_hosted,,,,published,official
Arlington,2024,regular,yes,LEO,https://www.arlingtonma.gov/home/showpublisheddocument/69574/638484306153970000,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Arlington2024_d0.pdf,manual,manual,manual_ingest,95,Arlington2024_d0.pdf,yes,yes,pdf_hosted,,,,published,official
Arlington,2025,regular,yes,LEO,https://www.arlingtonma.gov/home/showpublisheddocument/73627/638797318294870000,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Arlington2025_d0.pdf,manual,manual,manual_ingest,95,Arlington2025_d0.pdf,yes,yes,pdf_hosted,,,,published,official
Arlington,2026,regular,yes,custom-search-2026,https://web.archive.org/web/20260608050904/https://www.arlingtonma.gov/home/showpublisheddocument/77319/639107221930030000,,,,citation found 2026-08-23 by sha256: bytes identical to the held PDF,,,no,no,pdf_hosted,,,,published,official
Ashburnham,2021,regular,yes,LEO,https://www.ashburnham-ma.gov/DocumentCenter/View/559,,crawl,high,"ballot (read 2026-08-23): 'EARLY / ABSENTEE OFFICIAL BALLOT ANNUAL TOWN ELECTION ASHBURNHAM, APRIL 27, 2021' -- an unmarked form",90,,no,no,missing,,pypdf(recrawl),https://www.ashburnham-ma.gov/DocumentCenter/View/499/Ballot-SAMPLE-for-Town-Election-April-27-2021-PDF,published,official
Ashburnham,2022,regular,yes,LEO,https://web.archive.org/web/20220522142334id_/https://www.ashburnham-ma.gov/sites/g/files/vyhlif266/f/alerts/town_election_results_4-26-2022.pdf,,fleet:docsweep,high,"ballot (read 2026-08-23): an unmarked official ballot dated APRIL 25, 2017",90,,no,no,missing,,pdf_only(needs_ocr),https://www.ashburnham-ma.gov/DocumentCenter/View/498/Ballot-Sample-for-Town-Election-April-26-2022-PDF; https://www.ashburnham-ma.gov/DocumentCenter/View/627,published,official
Ashburnham,2023,regular,yes,LEO,https://www.ashburnham-ma.gov/sites/g/files/vyhlif266/f/news/2023_ashburnham_town_election_-_official_results.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Ashburnham2023_d0.pdf,manual,high,manual_ingest,90,Ashburnham2023_d0.pdf,yes,yes,pdf_hosted,,,,published,official
Ashburnham,2024,regular,yes,LEO,https://www.ashburnham-ma.gov/DocumentCenter/View/2027/2024-Town-Election-Results,,scraper_sheet9,spraped,,70,,no,no,hosted,,docling-2.66.0,,published,official
