municipality,year,provenance,capture_status,host,native_url,hosted_url
Bourne,2023,LEO,MISS_host_crawled,townofbourne.com,https://www.townofbourne.com/sites/g/files/vyhlif7346/f/news/mx-m264n_20230516_202021.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Bourne2023.pdf
Bourne,2024,LEO,MISS_host_crawled,townofbourne.com,https://www.townofbourne.com/sites/g/files/vyhlif12841/f/news/may_21_2024_town_election_unofficial_results.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Bourne2024.pdf
Bourne,2025,LEO,MISS_host_crawled,townofbourne.com,https://www.townofbourne.com/sites/g/files/vyhlif12841/f/news/unofficial_election_results_with_write-ins_-_may_20_2025_1.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Bourne2025.pdf
Marblehead,2021,LEO,MISS_host_crawled,marbleheadma.gov,https://www.marbleheadma.gov/sites/g/files/vyhlif4661/f/uploads/official_2021_town_election_results_final_-_june_22_2021_master.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Marblehead2021.pdf
Marblehead,2022,LEO,MISS_host_crawled,marbleheadma.gov,https://www.marbleheadma.gov/sites/g/files/vyhlif4661/f/uploads/2022_official_town_election_results.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Marblehead2022.pdf
Marblehead,2023,LEO,captured_exact,marblehead.org,https://www.marblehead.org/sites/g/files/vyhlif4661/f/news/2023_town_election_officialresults_-_june_20_2023master.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Marblehead2023.pdf
Marblehead,2024,LEO,MISS_host_crawled,marbleheadma.gov,https://www.marbleheadma.gov/sites/g/files/vyhlif4661/f/uploads/2024_official_results_town_election_june_11th_2024.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Marblehead2024.pdf
Sandwich,2021,LEO,captured_exact,sandwichmass.org,https://www.sandwichmass.org/ArchiveCenter/ViewFile/Item/227,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Sandwich2021.pdf
Sandwich,2022,LEO,captured_exact,sandwichmass.org,https://www.sandwichmass.org/ArchiveCenter/ViewFile/Item/242,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Sandwich2022.pdf
Sandwich,2023,LEO,captured_exact,sandwichmass.org,https://www.sandwichmass.org/ArchiveCenter/ViewFile/Item/278,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Sandwich2023.pdf
Sandwich,2024,LEO,MISS_host_crawled,sandwichmass.org,https://www.sandwichmass.org/ArchiveCenter/ViewFile/Item/352,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Sandwich2024.pdf
Sandwich,2025,LEO,MISS_host_crawled,sandwichmass.org,https://www.sandwichmass.org/ArchiveCenter/ViewFile/Item/439,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Sandwich2025.pdf
Hudson,2021,LEO,MISS_host_crawled,townofhudson.org,https://www.townofhudson.org/sites/g/files/vyhlif3281/f/uploads/may10_2021_annual_town_election_unoffical_results.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Hudson2021.pdf
Hudson,2022,LEO,MISS_host_crawled,townofhudson.org,https://www.townofhudson.org/sites/g/files/vyhlif3281/f/uploads/5.09.22_annual_town_election_official_results.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Hudson2022.pdf
Hudson,2023,LEO,captured_exact,townofhudson.org,https://www.townofhudson.org/sites/g/files/vyhlif3281/f/uploads/5.8.23_annual_town_election_official_results.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Hudson2023.pdf
Hudson,2025,LEO,MISS_host_crawled,townofhudson.org,https://www.townofhudson.org/Archive.aspx?ADID=239,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Hudson2025.pdf
Holden,2021,LEO,captured_exact,holdenma.gov,https://holdenma.gov/379/Town-Election-Results-Town-Meeting-Proce,
Holden,2022,LEO,captured_exact,holdenma.gov,https://holdenma.gov/379/Town-Election-Results-Town-Meeting-Proce,
Holden,2023,LEO,captured_exact,holdenma.gov,https://www.holdenma.gov/sites/g/files/vyhlif4526/f/uploads/2023_05_08_official_results_ate.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Holden2023.pdf
Holden,2024,LEO,captured_exact,holdenma.gov,https://www.holdenma.gov/sites/g/files/vyhlif4526/f/uploads/2024_05_13_official_results_ate.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Holden2024.pdf
Holden,2025,LEO,captured_exact,holdenma.gov,https://holdenma.gov/DocumentCenter/View/300/2025-Blank-Census-Form,
Grafton,2021,LEO,MISS_host_crawled,grafton-ma.gov,https://www.grafton-ma.gov/DocumentCenter/View/1073/5-22-2021--Local-Election-PDF,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Grafton2021.pdf
Grafton,2022,LEO,MISS_host_crawled,grafton-ma.gov,https://www.grafton-ma.gov/DocumentCenter/View/1072/5-17-2022--Local-Election-PDF,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Grafton2022.pdf
Grafton,2023,LEO,MISS_host_crawled,grafton-ma.gov,https://www.grafton-ma.gov/DocumentCenter/View/9253/5-16-2023-Local-Election,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Grafton2023.pdf
Grafton,2024,LEO,captured_exact,grafton-ma.gov,https://www.grafton-ma.gov/DocumentCenter/View/12816/05-21-2024--Local-Annual-Election,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Grafton2024.pdf
Winthrop,2021,LEO,captured_exact,winthropma.gov,https://www.winthropma.gov/DocumentCenter/View/788/Local-Election-Results-11-2-2021-PDF,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Winthrop2021.pdf
Norton,2022,LEO,MISS_host_crawled,nortonma.org,https://www.nortonma.org/sites/g/files/vyhlif3606/f/news/official_results_ate_04-30-2022_3.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Norton2022.pdf
Norton,2023,LEO,captured_exact,nortonma.org,https://www.nortonma.org/sites/g/files/vyhlif3606/f/news/unofficial_results_ate_04.29.2023.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Norton2023.pdf
Norton,2025,LEO,MISS_host_crawled,nortonma.org,https://www.nortonma.org/sites/g/files/vyhlif3606/f/news/2025.04.26_norton_unofficial_election_result_4.26.2025.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Norton2025.pdf
Scituate,2021,LEO,MISS_host_crawled,scituatema.gov,https://www.scituatema.gov/sites/g/files/vyhlif11836/f/pages/official_town_election_results_2021.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Scituate2021.pdf
Scituate,2022,LEO,MISS_host_crawled,scituatema.gov,https://www.scituatema.gov/sites/g/files/vyhlif11836/f/pages/official_results_ate_5-21-2022.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Scituate2022.pdf
Scituate,2023,LEO,MISS_host_crawled,scituatema.gov,https://www.scituatema.gov/sites/g/files/vyhlif3781/f/pages/amended_official_town_election_results_5-20-23.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Scituate2023.pdf
Scituate,2024,LEO,MISS_host_crawled,scituatema.gov,https://www.scituatema.gov/sites/g/files/vyhlif11836/f/pages/official_results_2024_annual_town_election.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Scituate2024.pdf
Scituate,2025,LEO,MISS_host_crawled,scituatema.gov,https://www.scituatema.gov/sites/g/files/vyhlif11836/f/alerts/official_town_election_results_5-31-2025_kg_2.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Scituate2025.pdf
Sudbury,2021,LEO,captured_exact,cdn.sudbury.ma.us,https://cdn.sudbury.ma.us/wp-content/uploads/sites/270/2022/01/Town-Proceedings-2021.pdf?version=fd37c4487d53104f778c3f5656b80d67,
Sudbury,2023,LEO,MISS_host_crawled,sudbury.ma.us,https://sudbury.ma.us/election/316/,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Sudbury2023.pdf
Sudbury,2024,LEO,captured_exact,cdn.sudbury.ma.us,https://cdn.sudbury.ma.us/wp-content/uploads/sites/270/2025/09/Town-Proceedings-2024.pdf?version=db5884c35252866edd48ac95c6cade53,
Ashland,2021,LEO,captured_exact,ashlandmass.com,https://www.ashlandmass.com/DocumentCenter/View/7891/Certified-Election-Results-May-18-2021-Annual-Town-Election,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Ashland2021.pdf
Ashland,2022,LEO,MISS_host_crawled,ashlandmass.com,https://www.ashlandmass.com/DocumentCenter/View/9931/OFFICIAL-RESULTS-FOR-MAY-17-2022-ATE-ctl,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Ashland2022.pdf
Ashland,2023,LEO,captured_exact,ashlandmass.com,https://www.ashlandmass.com/DocumentCenter/View/11941/UNOFFICIAL-RESULTS-FOR-MAY-16-2023-ATExlsx,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Ashland2023.pdf
Ashland,2024,LEO,MISS_host_crawled,ashlandmass.com,https://www.ashlandmass.com/DocumentCenter/View/13901/Official-Results-for-May-21-2024-Annual-Town-Election,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Ashland2024.pdf
Ashland,2025,LEO,MISS_host_crawled,ashlandmass.com,https://www.ashlandmass.com/DocumentCenter/View/15235/Official-Results-for-May-20-2025-Annual-Town-Election,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Ashland2025.pdf
Hopkinton,2022,LEO,captured_exact,ehop.org,https://ehop.org/wp/wp-content/uploads/2022/05/5-16-2022-Town-Election-Unofficial.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Hopkinton2022.pdf
Hopkinton,2023,LEO,MISS_host_crawled,ehop.org,https://ehop.org/2023/05/town-election-results-2023/,
