municipality,year,confidence,container_kind,document_url,evidence
Conway,2024,high,townmtg_election,https://conwayma.gov/files/2004_through_2024_Certified_Town_Meeting_Minutes.pdf,"heads=25,blanks=0,offices=10,tallies=3461,yr=True,pp=148"
Conway,2025,high,election_page,https://conwayma.gov/p/104/Elections,"heads=40,blanks=1,offices=8,tallies=81,yr=True,pp=0"
Dalton,2025,high,annual_report,https://dalton-ma.gov/wp-content/uploads/2025/05/2024-Annual-Report-FINAL.pdf,"heads=3,blanks=1,offices=8,tallies=1120,yr=True,pp=82"
Deerfield,2025,high,townmtg_election,https://deerfieldma.us/DocumentCenter/View/2123,"heads=2,blanks=0,offices=5,tallies=405,yr=True,pp=51"
Douglas,2025,medium,townmtg_election,https://douglas-ma.gov/DocumentCenter/View/4495,"heads=2,blanks=0,offices=4,tallies=1,pp=1"
Dunstable,2023,high,election_page,https://dunstable-ma.gov/town-clerk,"heads=7,blanks=0,offices=8,tallies=14,pp=0"
East Bridgewater,2021,high,annual_report,https://ma-eastbridgewater.civicplus.com/DocumentCenter/View/1765/2021-Annual-Town-Report-PDF,"heads=24,blanks=10,offices=9,tallies=3242,yr=True,pp=210"
East Bridgewater,2022,high,annual_report,https://ma-eastbridgewater.civicplus.com/DocumentCenter/View/1766/2022-Annual-Town-Report-PDF,"heads=20,blanks=58,offices=10,tallies=3133,yr=True,pp=220"
East Bridgewater,2023,high,annual_report,https://ma-eastbridgewater.civicplus.com/DocumentCenter/View/1760/2023-Annual-Town-Report-PDF,"heads=20,blanks=8,offices=11,tallies=3329,yr=True,pp=225"
Erving,2022,high,minutes,https://erving-ma.gov/AgendaCenter/ViewFile/Minutes/_02022026-343,"heads=1,blanks=0,offices=8,tallies=65,pp=9"
Erving,2025,high,annual_report,https://www.erving-ma.gov/DocumentCenter/View/2973/2025-Annual-Town-Report-PDF,"heads=34,blanks=16,offices=11,tallies=1493,yr=True,pp=136"
Gill,2021,high,election_page,https://gillmass.org/TownClerk,"heads=7,blanks=19,offices=9,tallies=41,pp=0"
Gill,2022,high,election_page,https://gillmass.org/TownClerk,"heads=7,blanks=19,offices=9,tallies=41,yr=True,pp=0"
Gill,2023,high,election_page,https://gillmass.org/TownClerk,"heads=7,blanks=19,offices=9,tallies=41,yr=True,pp=0"
Gill,2024,high,election_page,https://gillmass.org/TownClerk,"heads=7,blanks=19,offices=9,tallies=41,yr=True,pp=0"
Gill,2025,high,election_page,https://gillmass.org/TownClerk,"heads=7,blanks=19,offices=9,tallies=41,yr=True,pp=0"
Granby,2021,medium,election_page,https://granby-ma.gov/townclerk,"heads=1,blanks=0,offices=7,tallies=1,pp=0"
Granby,2022,medium,election_page,https://granby-ma.gov/townclerk,"heads=1,blanks=0,offices=7,tallies=1,pp=0"
Granby,2023,medium,election_page,https://granby-ma.gov/townclerk,"heads=1,blanks=0,offices=7,tallies=1,pp=0"
Granby,2024,medium,election_page,https://granby-ma.gov/townclerk,"heads=1,blanks=0,offices=7,tallies=1,pp=0"
Granby,2025,medium,election_page,https://granby-ma.gov/townclerk,"heads=1,blanks=0,offices=7,tallies=1,pp=0"
