town,town_norm,community_type,governing_body,eohlc_status,adoption_date,extracted_legislative,extracted_planning_board,extracted_source_url
Westborough,westborough,commuter rail,Select Board,Compliant,2024-09-06,,,
Westford,westford,MBTA adjacent,Select Board,Compliant,2023-12-28,,recommended; 2023-12-18,https://www.westfordma.gov/DocumentCenter/View/14216/MBTA_Communities_Explainer_2_What_done_so_far
Westminster,westminster,commuter rail,Select Board,Compliant,2025-08-25,,,
Weston,weston,subway or light rail,Select Board,Compliant,2025-10-30,adopted; 2024-10-15,,https://www.westonma.gov/1884/3A-MBTA-Multifamily-Zoning
Westwood,westwood,bus,Select Board,Compliant,2024-11-14,,,
Weymouth,weymouth,bus,City Council,Compliant,2024-04-02,,,
Whitman,whitman,commuter rail,Select Board,Compliant,2024-10-17,,,
Wilmington,wilmington,bus,Select Board,Non-Compliant,,,,
Winchester,winchester,bus,Select Board,Compliant,2024-12-05,,,
Winthrop,winthrop,subway or light rail,City Council,Non-Compliant,,rejected; 2024-11-19; 3-4-1a,,https://www.winthropma.gov/DocumentCenter/View/1936/ActionPlanforMBTACommunities2025_Submission_Winthrop-2-12-25
Woburn,woburn,bus,City Council,Interim/Unknown,,,,
Worcester,worcester,commuter rail,City Council,Compliant,2024-08-22,,,
Wrentham,wrentham,MBTA adjacent,Select Board,Compliant,2025-10-03,,,
