town,body,in_corpus,own_agenda,own_minutes,any_agenda,any_minutes,n_own_ag,n_own_min
Wendell,Select Board,True,True,False,True,False,1,0
Wenham,Select Board,True,True,True,True,True,151,79
Westborough,Select Board,True,True,True,True,True,281,54
West Boylston,Select Board,True,True,False,True,True,2,0
West Bridgewater,Select Board,True,False,False,False,True,0,0
West Brookfield,Select Board,False,False,False,False,False,0,0
Westfield,City Council,True,True,True,True,True,110,43
Westford,Select Board,True,True,True,True,True,69,16
Westhampton,Select Board,True,True,True,True,True,8,43
Westminster,Select Board,True,True,False,True,True,73,0
West Newbury,Select Board,True,True,True,True,True,36,20
Weston,Select Board,True,True,True,True,True,35,30
Westport,Select Board,True,True,True,True,True,2,1
West Springfield,City Council,False,False,False,False,False,0,0
West Stockbridge,Select Board,True,True,True,True,True,31,13
West Tisbury,Select Board,True,True,True,True,True,133,189
Westwood,Select Board,True,False,True,True,True,0,2
Weymouth,City Council,False,False,False,False,False,0,0
Whately,Select Board,True,True,True,True,True,1,86
Whitman,Select Board,True,True,True,True,True,19,10
Wilbraham,Select Board,True,True,True,True,True,45,7
Williamsburg,Select Board,True,False,False,True,True,0,0
Williamstown,Select Board,True,False,False,True,True,0,0
Wilmington,Select Board,True,True,False,True,True,1,0
Winchendon,Select Board,True,True,True,True,True,58,13
Winchester,Select Board,True,True,True,True,True,55,130
Windsor,Select Board,True,False,False,False,False,0,0
Winthrop,City Council,True,True,True,True,True,40,20
Woburn,City Council,True,True,False,True,True,152,0
Worcester,City Council,True,True,False,True,True,554,0
Worthington,Select Board,True,False,False,True,True,0,0
Wrentham,Select Board,True,True,True,True,True,18,12
Yarmouth,Select Board,True,True,True,True,True,66,6
