town,town_norm,community_type,governing_body,board,doctype,year,verdict,url,npages,topic_pages,textfile,status,chars
Manchester,manchester,commuter rail,,,,,CONFIRMED,http://manchester.ma.us/DocumentCenter/View/4709/MBTACommunities-Draft-Compliance-Guidelines-c40A-Sect-3A,11,"1,2,3,4,5,6,7,8,9,10,11",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\manchester__aef1e9aab4b0.txt,OK,30800
Manchester,manchester,commuter rail,,,,,CONFIRMED,http://manchester.ma.us/DocumentCenter/View/6290/Section-3A-Compliance-Guidelines-81723,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\manchester__4e5d3cb53383.txt,OK,54725
Manchester,manchester,commuter rail,,,,,CONFIRMED,http://manchester.ma.us/DocumentCenter/View/6290/Section-3A-Compliance-Guidelines-81723?bidId=,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\manchester__e74e7a184937.txt,OK,54725
Manchester,manchester,commuter rail,,,,,CONFIRMED,http://www.manchester.ma.us/DocumentCenter/View/8884/MBTS---Section-3A-Determination-of-Compliance,3,"1,2,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\manchester__beb35f8f61cc.txt,OK,6114
Manchester,manchester,commuter rail,,,,2022,CONFIRMED,http://manchester.ma.us/DocumentCenter/View/4710/MBTACommunitiesFAQ-Updated_03-01-22,9,"1,2,3,4,5,6,7,8,9",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\manchester__66bd147537ce.txt,OK,24809
Manchester,manchester,commuter rail,,,,2022,CONFIRMED,http://manchester.ma.us/DocumentCenter/View/4759/MAPC-MBTA-TOD-Section3A_FinalComments_3_21_22,7,"1,3,4,5,7",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\manchester__78d4ba00bf5b.txt,OK,26046
Mansfield,mansfield,commuter rail,,,,,CONFIRMED,https://mansfieldma.com/DocumentCenter/View/6097/MBTA-Communities-FAQ---Updated-03102022,9,"1,2,3,4,5,6,7,8,9",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\mansfield__6a1db0a165bd.txt,OK,24809
Mansfield,mansfield,commuter rail,,,,2024,CONFIRMED,https://mansfieldma.com/DocumentCenter/View/9181,2,"1,2",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\mansfield__d2bd8809aed9.txt,OK,4404
Mansfield,mansfield,commuter rail,,zoning,,,CONFIRMED,https://mansfieldma.com/705/MGL-Chapter-40A-Section-3A-3A-MBTA-Zonin,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\mansfield__c09c15b23c63.txt,OK,25210
Marblehead,marblehead,bus,,,,,CONFIRMED,https://marbleheadma.gov/event/3a-multifamily-overlay-district-information-session/,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\marblehead__04cea1e7caa6.txt,OK,12844
